state,diesel
Baden-Württemberg,1.7533374209371368
Bayern,1.7808940652818992
Berlin,1.7609043103448276
Brandenburg,1.7729284712482467
Bremen,1.7368071065989847
Hamburg,1.7613425287356321
Hessen,1.7471778406617327
Mecklenburg-Vorpommern,1.756492733564014
Niedersachsen,1.7442542704394315
Nordrhein-Westfalen,1.7232443047276884
Rheinland-Pfalz,1.7208573294156055
Saarland,1.7244947683109118
Sachsen-Anhalt,1.7452586412395708
Schleswig-Holstein,1.761931818181818
Thüringen,1.7633794037940378
