brand,diesel
BFT-Tankstelle Kloiber GmbH,1.454090909090909
tankpool24,1.5554375
Monwash 24H Tanken,1.6022500000000002
RUMAG Energy Tankstelle,1.6330833333333334
Kirschbaum,1.6367500000000001
ELAN Xpress,1.6373333333333333
AMB,1.6403750000000001
Freietankstelle Oberrotweil,1.6416666666666666
Autohaus Anton Segbert GmbH & Co.  KG,1.64625
Hüter Einkaufszentrum,1.6492499999999999
